USER_ID,MOVIE_ID,MOVIE_TITLE,PRODUCTION_YEAR,GENRES,RATING,,,GENRES,
1,4642044,Riot ,2015,Action,8,,1,action,8
2,1925518,The Protector 2 ,2013,Action,5,,5,suspense,6
3,372784,Batman Begins ,2005,Action|Adventure,9,,,drama,5
4,1390411,In the Heart of the Sea ,2015,Action|Adventure|Biography|Drama|History|Thriller,5,,,thriller,4
5,6306064,Adrift ,2018,Action|Adventure|Biography|Drama|Romance|Thriller,4,,,adventures,
6,6306064,Adrift ,2018,Action|Adventure|Biography|Drama|Romance|Thriller,5,,,,
7,2719848,Everest ,2015,Action|Adventure|Biography|Drama|Thriller,6,,,,
8,462504,Rescue Dawn ,2006,Action|Adventure|Biography|Drama|War,8,,,,
9,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,10,,,,
10,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,9,,,,
11,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,9.2,,,,
12,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,6,,,,
13,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,9,,,,
14,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,8,,,,
15,1663202,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,7,,,,
16,102070,Hudson Hawk ,1991,Action|Adventure|Comedy,5,,,,
17,1638355,The Man from U.N.C.L.E. ,2015,Action|Adventure|Comedy,6,,,,
18,1638355,The Man from U.N.C.L.E. ,2015,Action|Adventure|Comedy,9,,,,
19,1638355,The Man from U.N.C.L.E. ,2015,Action|Adventure|Comedy,7,,,,
20,1638355,The Man from U.N.C.L.E. ,2015,Action|Adventure|Comedy,8,,,,
21,1638355,The Man from U.N.C.L.E. ,2015,Action|Adventure|Comedy,6,,,,
22,2334871,Snatched ,2017,Action|Adventure|Comedy,7,,,,
23,6663582,The Spy Who Dumped Me ,2018,Action|Adventure|Comedy,6,,,,
24,3110958,Now You See Me 2 ,2016,Action|Adventure|Comedy|Crime|Mystery|Thriller,8,,,,
25,3110958,Now You See Me 2 ,2016,Action|Adventure|Comedy|Crime|Mystery|Thriller,6,,,,
26,3381008,Grimsby ,2016,Action|Adventure|Comedy|Crime|Thriller,8,,,,
27,3381008,Grimsby ,2016,Action|Adventure|Comedy|Crime|Thriller,10,,,,
28,1981107,The Young and Prodigious T.S. Spivet ,2013,Action|Adventure|Comedy|Drama|Family,8,,,,
29,2788732,Pete's Dragon ,2016,Action|Adventure|Comedy|Family|Fantasy,6,,,,
30,448115,Shazam! ,2019,Action|Adventure|Comedy|Fantasy,10,,,,
31,107362,Last Action Hero ,1993,Action|Adventure|Comedy|Fantasy,6,,,,
32,448115,Shazam! ,2019,Action|Adventure|Comedy|Fantasy,8,,,,
33,448115,Shazam! ,2019,Action|Adventure|Comedy|Fantasy,8,,,,
34,448115,Shazam! ,2019,Action|Adventure|Comedy|Fantasy,7,,,,
35,93260,Innerspace ,1987,Action|Adventure|Comedy|Fantasy|Sci-Fi|Thriller,6,,,,
36,120746,The Mask of Zorro ,1998,Action|Adventure|Comedy|Romance|Thriller|Western,7,,,,
37,478970,Ant-Man ,2015,Action|Adventure|Comedy|Sci-Fi,8,,,,
38,1431045,Deadpool ,2016,Action|Adventure|Comedy|Sci-Fi,8,,,,
39,5095030,Ant-Man and the Wasp ,2018,Action|Adventure|Comedy|Sci-Fi,8,,,,
40,1291150,Teenage Mutant Ninja Turtles ,2014,Action|Adventure|Comedy|Sci-Fi,6,,,,
41,2015381,Guardians of the Galaxy ,2014,Action|Adventure|Comedy|Sci-Fi,8,,,,
42,3896198,Guardians of the Galaxy Vol. 2 ,2017,Action|Adventure|Comedy|Sci-Fi,9,,,,
43,478970,Ant-Man ,2015,Action|Adventure|Comedy|Sci-Fi,7,,,,
44,1409024,Men in Black 3 ,2012,Action|Adventure|Comedy|Sci-Fi,7,,,,
45,1431045,Deadpool ,2016,Action|Adventure|Comedy|Sci-Fi,7,,,,
46,3896198,Guardians of the Galaxy Vol. 2 ,2017,Action|Adventure|Comedy|Sci-Fi,8,,,,
47,5463162,Deadpool 2 ,2018,Action|Adventure|Comedy|Sci-Fi,7,,,,
48,478970,Ant-Man ,2015,Action|Adventure|Comedy|Sci-Fi,6,,,,
